carrer de Sant Joan;carrer;de;0.29;male
Carrer de Sant Joaquim;Carrer;de;0.29;male
carrer de Sant Joaquim;carrer;de;0.29;male
Carrer de Sant Jordi;Carrer;de;0.29;male
Carrer de Sant Josep;Carrer;de;0.29;male
Carrer de Sant Josep Oriol;Carrer;de;0.29;male
carrer de Sant Josep Oriol;carrer;de;0.29;male
Carrer de Sant Just;Carrer;de;0.29;male
Carrer de Sant Llu¡s;Carrer;de;0.29;male
carrer de Sant Pasqual;carrer;de;0.29;male
Carrer de Sant Pere;Carrer;de;0.29;male
Carrer de Sant Ramon;Carrer;de;0.29;male
carrer de Sant Ramon;carrer;de;0.29;male
Carrer de Santa Anna;Carrer;de;0.29;female
Carrer de Santa Coloma;Carrer;de;0.29;female
Carrer de Santa Eul lia;Carrer;de;0.29;female
Carrer de Santa Gemma;Carrer;de;0.29;female
Carrer de Santa Rosa;Carrer;de;0.29;female
Carrer de Santiago Rusi¤ol;Carrer;de;0.29;male
carrer de Santiago Rusi¤ol;carrer;de;0.29;male
Carrer de Singuerlin;Carrer;de;0.29;male
Carrer de Victor Hugo;Carrer;de;0.29;male
Carrer de Wagner;Carrer;de;0.29;male
Carrer de Wilson;Carrer;de;0.29;male
Carrer d'Edison;Carrer;d'Edison;-0.13;male
Carrer d'Eiximenis;Carrer;d'Eiximenis;-0.13;male
Carrer del Doctor Ferran;Carrer;del;-0.45;male
carrer del Doctor Ferran;carrer;del;-0.45;male
carrer del Doctor PagŠs;carrer;del;-0.45;male
Carrer del MossŠn Camil Rosell;Carrer;del;-0.45;male
Carrer del Nebot;Carrer;del;-0.45;male
Carrer del Pare Benet;Carrer;del;-0.45;male
Carrer del Pedr¢;Carrer;del;-0.45;male
Carrer del President Lluis Companys;Carrer;del;-0.45;male
Carrer d'en Gaspar;Carrer;d'en;0.27;male
Carrer d'en Josep Serrano;Carrer;d'en;0.27;male
Carrer d'Enric Granados;Carrer;d'Enric;0;male
Carrer d'Enric Morera;Carrer;d'Enric;0;male
carrer d'Espriu;carrer;d'Espriu;0;male
Carrer d'Isaac Albeniz;Carrer;d'Isaac;0;male
Carrer Doctor Torras i Bages;Carrer;Doctor;0;male
Carrer Franquesa;Carrer;Franquesa;0;unknown
Carrer Letamendi;Carrer;Letamendi;0;unknown
Carrer Mare de Deu dels Angels;Carrer;Mare;-0.13;female
Carrer Menendez Pelayo;Carrer;Menendez;-0.7;male
Carrer Milton;Carrer;Milton;0;unknown
Carrer Monturiol;Carrer;Monturiol;0;unknown
Carrer Roger de Flor;Carrer;Roger;0;male
Carrer Sant DomŠnec;Carrer;Sant;-0.3;male
Carrer Sant Silvestre;Carrer;Sant;-0.3;male
Carrer Verdi;Carrer;Verdi;-0.13;male
Carrer Vinyals;Carrer;Vinyals;0;unknown
F. Moragas;F.;Moragas;0;male
Passatge Beethoven;Passatge;Beethoven;0.13;male
Passatge de Crist•fol Colom;Passatge;de;-0.13;male
passatge de Liszt;passatge;de;-0.13;male
Passatge de Sant Miquel;Passatge;de;-0.13;male
Passatge de Sant Pascual;Passatge;de;-0.13;male
Passatge d'en Caralt;Passatge;d'en;0.13;male
passatge d'en Sampere;passatge;d'en;0.13;male
Passatge d'en Vital;Passatge;d'en;0.13;male
Passatge Jaume Galobardes;Passatge;Jaume;0.13;male
Passatge Josep Serrano;Passatge;Josep;0.13;male
Passatge Juli Garreta;Passatge;Juli;0.13;male
Passatge Ma‡anet;Passatge;Ma‡anet;-0.13;male
Passatge Parcerisses;Passatge;Parcerisses;0;unknown
Passatge Pep Ventura;Passatge;Pep;0.13;male
Passatge Salvatella;Passatge;Salvatella;0;unknown
Passatge Sant Lluis;Passatge;Sant;0.13;male
Passeig de Lloren‡ Serra;Passeig;de;-0.13;male
Passeig del Mossen Jaume Gordi;Passeig;del;-0.13;male
Pla‡a de Rigoberta Mench£;Pla‡a;de;0.63;female
pla‡a de Salvador Dal¡;pla‡a;de;0.63;male
Pla‡a d'en Bar¢;Pla‡a;d'en;0.13;male
Rambla de Sant Sebasti…;Rambla;de;0.43;male
Sant Jordi;Sant;Jordi;-0.5;male
